CustomerID,Age,Annual Income (k$),Spending Score (1-100),prediction,Gender
1,19,15,39,0,Male
2,21,15,81,0,Male
3,20,16,6,1,Female
4,23,16,77,0,Female
5,31,17,40,0,Female
6,22,17,76,0,Female
7,35,18,6,1,Female
8,23,18,94,0,Female
9,64,19,3,1,Male
10,30,19,72,0,Female
11,67,19,14,1,Male
12,35,19,99,0,Female
13,58,20,15,1,Female
14,24,20,77,0,Female
15,37,20,13,1,Male
16,22,20,79,0,Male
17,35,21,35,1,Female
18,20,21,66,0,Male
19,52,23,29,1,Male
20,35,23,98,0,Female
21,35,24,35,1,Male
22,25,24,73,0,Male
23,46,25,5,1,Female
24,31,25,73,0,Male
25,54,28,14,1,Female
26,29,28,82,0,Male
27,45,28,32,1,Female
28,35,28,61,0,Male
29,40,29,31,1,Female
30,23,29,87,0,Female
31,60,30,4,1,Male
32,21,30,73,0,Female
33,53,33,4,1,Male
34,18,33,92,0,Male
35,49,33,14,1,Female
36,21,33,81,0,Female
37,42,34,17,1,Female
38,30,34,73,0,Female
39,36,37,26,1,Female
40,20,37,75,0,Female
41,65,38,35,4,Female
42,24,38,92,0,Male
43,48,39,36,1,Male
44,31,39,61,0,Female
45,49,39,28,1,Female
46,24,39,65,0,Female
47,50,40,55,4,Female
48,27,40,47,0,Female
49,29,40,42,0,Female
50,31,40,42,0,Female
51,49,42,52,4,Female
52,33,42,60,0,Male
53,31,43,54,0,Female
54,59,43,60,4,Male
55,50,43,45,4,Female
56,47,43,41,4,Male
57,51,44,50,4,Female
58,69,44,46,4,Male
59,27,46,51,0,Female
60,53,46,46,4,Male
61,70,46,56,4,Male
62,19,46,55,0,Male
63,67,47,52,4,Female
64,54,47,59,4,Female
65,63,48,51,4,Male
66,18,48,59,0,Male
67,43,48,50,4,Female
68,68,48,48,4,Female
69,19,48,59,0,Male
70,32,48,47,0,Female
71,70,49,55,4,Male
72,47,49,42,4,Female
73,60,50,49,4,Female
74,60,50,56,4,Female
75,59,54,47,4,Male
76,26,54,54,0,Male
77,45,54,53,4,Female
78,40,54,48,4,Male
79,23,54,52,0,Female
80,49,54,42,4,Female
81,57,54,51,4,Male
82,38,54,55,0,Male
83,67,54,41,4,Male
84,46,54,44,4,Female
85,21,54,57,0,Female
86,48,54,46,4,Male
87,55,57,58,4,Female
88,22,57,55,0,Female
89,34,58,60,0,Female
90,50,58,46,4,Female
91,68,59,55,4,Female
92,18,59,41,0,Male
93,48,60,49,4,Male
94,40,60,40,4,Female
95,32,60,42,0,Female
96,24,60,52,0,Male
97,47,60,47,4,Female
98,27,60,50,0,Female
99,48,61,42,4,Male
100,20,61,49,0,Male
101,23,62,41,0,Female
102,49,62,48,4,Female
103,67,62,59,4,Male
104,26,62,55,0,Male
105,49,62,56,4,Male
106,21,62,42,0,Female
107,66,63,50,4,Female
108,54,63,46,4,Male
109,68,63,43,4,Male
110,66,63,48,4,Male
111,65,63,52,4,Male
112,19,63,54,0,Female
113,38,64,42,2,Female
114,19,64,46,0,Male
115,18,65,48,0,Female
116,19,65,50,0,Female
117,63,65,43,4,Female
118,49,65,59,4,Female
119,51,67,43,4,Female
120,50,67,57,4,Female
121,27,67,56,0,Male
122,38,67,40,2,Female
123,40,69,58,3,Female
124,39,69,91,3,Male
125,23,70,29,2,Female
126,31,70,77,3,Female
127,43,71,35,2,Male
128,40,71,95,3,Male
129,59,71,11,2,Male
130,38,71,75,3,Male
131,47,71,9,2,Male
132,39,71,75,3,Male
133,25,72,34,2,Female
134,31,72,71,3,Female
135,20,73,5,2,Male
136,29,73,88,3,Female
137,44,73,7,2,Female
138,32,73,73,3,Male
139,19,74,10,2,Male
140,35,74,72,3,Female
141,57,75,5,2,Female
142,32,75,93,3,Male
143,28,76,40,2,Female
144,32,76,87,3,Female
145,25,77,12,2,Male
146,28,77,97,3,Male
147,48,77,36,2,Male
148,32,77,74,3,Female
149,34,78,22,2,Female
150,34,78,90,3,Male
151,43,78,17,2,Male
152,39,78,88,3,Male
153,44,78,20,2,Female
154,38,78,76,3,Female
155,47,78,16,2,Female
156,27,78,89,3,Female
157,37,78,1,2,Male
158,30,78,78,3,Female
159,34,78,1,2,Male
160,30,78,73,3,Female
161,56,79,35,4,Female
162,29,79,83,3,Female
163,19,81,5,2,Male
164,31,81,93,3,Female
165,50,85,26,2,Male
166,36,85,75,3,Female
167,42,86,20,2,Male
168,33,86,95,3,Female
169,36,87,27,2,Female
170,32,87,63,3,Male
171,40,87,13,2,Male
172,28,87,75,3,Male
173,36,87,10,2,Male
174,36,87,92,3,Male
175,52,88,13,2,Female
176,30,88,86,3,Female
177,58,88,15,2,Male
178,27,88,69,3,Male
179,59,93,14,2,Male
180,35,93,90,3,Male
181,37,97,32,2,Female
182,32,97,86,3,Female
183,46,98,15,2,Male
184,29,98,88,3,Female
185,41,99,39,2,Female
186,30,99,97,3,Male
187,54,101,24,2,Female
188,28,101,68,3,Male
189,41,103,17,2,Female
190,36,103,85,3,Female
191,34,103,23,2,Female
192,32,103,69,3,Female
193,33,113,8,2,Male
194,38,113,91,3,Female
195,47,120,16,2,Female
196,35,120,79,3,Female
197,45,126,28,2,Female
198,32,126,74,3,Male
199,32,137,18,2,Male
200,30,137,83,3,Male
